Plant_Number,root_weight_g,shoot_weight_g,total_biomass,notes_roots,notes_shoots,sandy_root
2,0.0184,0.0065,0.0249,,,N
4,0.0804,0.0016,0.082,,,N
6,0.0436,0.0036,0.0472,,,N
10,0.0784,0.0041,0.0825,,,N
11,0.0293,0.003,0.0323,,,N
12,0.0021,0.0005,0.0026,,barely anything,N
14,0.0601,0.0011,0.0612,,,N
18,0.0318,0.0041,0.0359,,,N
20,0.027,0.0009,0.0279,,barely anything,N
21,0.0115,0.0026,0.0141,,,N
22,0.0092,0.0031,0.0123,,,N
23,0.0525,0.0049,0.0574,,,N
25,0.1738,0.0085,0.1823,,,N
26,0.0137,0.0052,0.0189,,,N
27,0.0328,0.0032,0.036,,,N
30,0.031,0.0033,0.0343,,,N
37,0.7866,0.0189,0.8055,"loads of soil, poured most back into envelope before weighing",,Y
39,0.6183,0.0168,0.6351,,,N
47,0.1405,0.0141,0.1546,,,N
49,0.0185,0.0058,0.0243,,,N
50,0.1022,0.0094,0.1116,,,N
51,0.5646,0.007,0.5716,lots of soil,,Y
52,1.1619,0.0256,1.1875,"loads of soil, poured most back into envelope before weighing",,Y
53,0.1074,0.0147,0.1221,,,N
54,0.0683,0.0107,0.079,,,N
55,0.0507,0.0126,0.0633,,,N
56,0.0243,0.0073,0.0316,,,N
57,0.0675,0.0113,0.0788,,,N
58,0.022,0.0063,0.0283,,,N
59,0.0892,0.0169,0.1061,,,N
62,0.0344,0.0059,0.0403,,,N
64,0.0831,0.006,0.0891,,,N
65,0.1089,0.0101,0.119,,,N
66,0.0201,0.0034,0.0235,,,N
67,0.118,0.006,0.124,,,N
68,0.0671,0.0161,0.0832,,,N
69,0.1056,0.0101,0.1157,,,N
72,0.0396,0.0131,0.0527,,,N
73,0.0205,0.0089,0.0294,,,N
75,0.1794,0.0064,0.1858,,,N
79,0.0176,0.0028,0.0204,,,N
84,0.0812,0.0115,0.0927,lots of soil,,Y
85,0.0501,0.0176,0.0677,,,N
86,0.0504,0.0102,0.0606,,,N
89,0.012,0.0037,0.0157,,,N
91,,,0,dead,dead,N
92,0.2382,0.0099,0.2481,,,N
93,0.0095,0.0123,0.0218,,,N
94,,,0,dead,dead,N
95,,,0,dead,dead,N
97,0.1127,0.0078,0.1205,,,N
98,0.0452,0.0101,0.0553,,,N
99,0.0065,0.0033,0.0098,,,N
100,0.0583,0.01,0.0683,,,N
101,0.0693,0.0047,0.074,,,N
102,0.0062,0.0091,0.0153,,,N
103,0.124,0.0115,0.1355,,,N
104,0.0789,0.0067,0.0856,,,N
105,0.0051,0.004,0.0091,,,N
106,,,0,dead,dead,N
107,0.0793,0.0088,0.0881,,,N
108,0.0041,0.005,0.0091,,,N
109,0.0942,0.0071,0.1013,,,N
110,0.0595,0.0098,0.0693,,,N
111,0.0075,0.011,0.0185,,,N
112,0.1718,0.0081,0.1799,,,N
113,0.1277,0.0123,0.14,,,N
114,0.0056,0.005,0.0106,,,N
115,0.2581,0.0079,0.266,,,N
116,0.0079,0.0013,0.0092,,,N
117,0.0048,0.0031,0.0079,,,N
118,0.1296,0.0199,0.1495,,,N
119,,,0,dead,dead,N
120,0.0071,0.0108,0.0179,,,N
121,0.2736,0.0237,0.2973,,,N
122,,,0,dead,dead,N
124,0.2708,0.0381,0.3089,,,N
125,0.1843,0.0229,0.2072,,,N
127,0.14,0.0225,0.1625,,,N
128,0.0503,0.0158,0.0661,,,N
129,0.0087,0.0163,0.025,,,N
130,0.0351,0.0075,0.0426,,,N
131,,,0,dead,dead,N
132,0.0091,0.017,0.0261,,,N
133,0.0383,0.0082,0.0465,,,N
134,0.0648,0.0177,0.0825,,,N
135,0.0091,0.0409,0.05,,,N
136,0.0803,0.0089,0.0892,,,N
137,0.0123,0.0128,0.0251,,,N
138,0.0034,0.003,0.0064,,,N
139,0.0106,0.0081,0.0187,,,N
140,0.0065,0.0041,0.0106,,,N
141,0.0063,0.0106,0.0169,,,N
142,0.1155,0.0086,0.1241,,,N
143,0.0846,0.0015,0.0861,,,N
144,0.0091,0.0124,0.0215,,,N
145,0.1059,0.0093,0.1152,,,N
146,0.0398,0.0124,0.0522,,,N
147,0.0059,0.0062,0.0121,,,N
148,0.055,0.013,0.068,,,N
149,0.1473,0.0094,0.1567,,,N
150,0.0077,0.0115,0.0192,,,N
151,0.0032,0.0035,0.0067,,,N
152,0.1367,0.0155,0.1522,,,N
153,0.002,0.0012,0.0032,,,N
154,0.0462,0.014,0.0602,,,N
155,0.037,0.0132,0.0502,,,N
156,0.0113,0.0137,0.025,,,N
157,0.071,0.0172,0.0882,,,N
158,0.0648,0.0199,0.0847,,,N
159,0.0087,0.0127,0.0214,,,N
160,0.0837,0.0156,0.0993,,,N
161,0.1806,0.0201,0.2007,,,N
162,0.0068,0.0101,0.0169,,,N
163,0.0753,0.0237,0.099,,,N
164,0.0417,0.0121,0.0538,,,N
165,0.0066,0.011,0.0176,,,N
166,0.2931,0.0395,0.3326,,,N
168,0.0219,0.0636,0.0855,,,N
167,0.5094,0.0624,0.5718,Maybe 169,,N
169,0.2971,0.054,0.3511,Maybe 167,,N
170,0.3582,0.0615,0.4197,,,N
171,0.0349,0.0606,0.0955,,,N
172,0.2881,0.0593,0.3474,,,N
173,0.547,0.0533,0.6003,,,N
174,0.0302,0.0613,0.0915,,,N
175,1.5279,0.0973,1.6252,,,N
176,0.7317,0.0862,0.8179,soil stuck on,,Y
177,0.0373,0.0697,0.107,,,N
178,0.2842,0.0441,0.3283,,,N
179,0.1303,0.0414,0.1717,,,N
180,0.0325,0.0601,0.0926,,,N
