Plant_Number,unfumigated_DOC_concentration_ugC_gsoil,unfumigated_TN_concentration_ugN_gsoil,fumigated_TN_concentration_ugN_gsoil,fumigated_DOC_concentration_ugC_gsoil,ugC_MicBiomass_g_dry_soil,ugN_MicBiomass_g_dry_soil
136,9.407710228,1.143491882,12.09591803,324.2183052,699.5790999,20.28227065
139,4.864290574,0.36614997,2.642308436,84.68109759,177.3706823,4.215108271
142,12.79750261,0.733901824,3.255436928,55.37844553,94.6243176,4.669509452
145,20.71116696,2.36668627,6.346291644,129.8047911,242.4302759,7.369639582
148,13.5895656,0.794104069,3.263913677,240.9376649,505.2179985,4.573721496
154,50.85880725,8.3393243,6.993599588,114.4491811,141.3119418,-2.4920828
157,16.2685416,-1.372085828,3.666156989,139.8604453,274.6486749,9.330079291
160,7.195695673,0.848424882,1.376086918,149.253184,315.6833074,0.977151918
163,6.240216692,-0.283130891,6.511601537,22.29268451,35.6721507,12.58283783
166,24.98487238,2.205795379,2.730668688,55.4880844,67.7849156,0.97198761
169,22.67492888,0.384320425,3.570433674,154.650049,293.2780447,5.900209721
172,20.14822118,1.825077694,4.272699182,150.1461573,288.8843026,4.532632384
175,39.1933393,5.286320387,3.409625859,88.23021538,108.9708357,-3.475360239
178,35.49469187,3.889774179,3.816563357,164.1812469,285.9701224,-0.135575596
