Plant_Number,Rhizosheath_WaterControl_g,Rhizosheath_WaterSoil_g,WetRoots_g,DryRoots_g,AverageRootWidth_Diameter,NetworkWidth,NetworkArea,GiaRoots_SpecificRootLength,NetworkLength,NetworkVolume,RhizosheathSoil_g,RhizosheathSoil_WetRoots_g,RhizosheathSoil_DryRoots_g,SRL_length_drymass,RLD_length_volume
93,38.0123,38.03,0.1026,0.0095,0.034694,12.62712,3.771905,1041.832,169.1017,0.162312,0.0177,0.17251462,1.863157895,17800.17895,1.070263924
99,37.9682,38.17,0.0146,0.0065,0.035365,14.32203,1.563631,991.3748,66.83051,0.067412,0.2018,13.82191781,31.04615385,10281.61692,0.422977911
102,38.7143,38.77,0.0316,0.0062,0.034602,9.135593,2.764723,1048.634,124.1695,0.118411,0.0557,1.762658228,8.983870968,20027.33871,0.785882911
105,38.7991,38.78,0.0238,0.0051,0.034382,8.372881,1.401321,1063.223,65.94915,0.062028,0,0,0,12931.20588,0.417399684
108,38.6287,38.76,0.0407,0.0041,0.034712,4.813559,1.680264,1038.932,74.66102,0.071863,0.1313,3.226044226,32.02439024,18210.00488,0.472538101
111,38.9831,39.16,0.0523,0.0075,0.035234,10.76271,2.958633,998.8807,123.3051,0.123443,0.1769,3.382409178,23.58666667,16440.68,0.780412025
114,38.7879,38.81,0.0094,0.0056,0.034818,7.322034,1.277219,1026.945,54.30508,0.05288,0.0221,2.35106383,3.946428571,9697.335714,0.343703038
117,38.3933,38.43,0.0114,0.0048,0.03824,4.016949,0.489227,807.7945,15.32203,0.018968,0.0367,3.219298246,7.645833333,3192.089583,0.096974873
120,38.5949,38.65,0.1249,0.0071,0.035031,12.22034,2.511347,1011.983,105.3559,0.104108,0.0551,0.441152922,7.76056338,14838.85915,0.666809494
129,38.2789,38.41,0.0921,0.0087,0.035265,10.22034,3.525424,996.0627,150.0169,0.15061,0.1311,1.423452769,15.06896552,17243.32184,0.949474051
132,38.4677,38.57,0.1296,0.0091,0.03627,12.55932,4.264866,927.4555,170.9661,0.184339,0.1023,0.789351852,11.24175824,18787.48352,1.082063924
135,38.8996,39.25,0.2712,0.0091,0.034541,12.0678,5.554726,1055.682,244.0169,0.231146,0.3504,1.292035398,38.50549451,26815.04396,1.544410759
138,39.244,39.25,0.0032,0.0034,0.034903,5.677966,0.5237,1016.129,23.42373,0.023052,0.006,1.875,1.764705882,6889.332353,0.148251456
141,39.4306,39.51,0.0265,0.0063,0.035181,9.288136,2.359954,1009.919,100.661,0.099672,0.0794,2.996226415,12.6031746,15977.93651,0.637094937
144,38.7636,39.02,0.0468,0.0091,0.035854,10.44068,2.721344,958.28,99.77966,0.104124,0.2564,5.478632479,28.17582418,10964.7978,0.631516835
147,39.1352,39.06,0.0117,0.0059,0.035619,7.79661,1.252226,976.1276,51.42373,0.052681,0,0,0,8715.886441,0.325466646
150,38.8267,38.88,0.0349,0.0077,0.036124,12.49153,2.716174,933.5712,109.2881,0.117065,0.0533,1.52722063,6.922077922,14193.25974,0.691696835
153,38.1956,38.24,0.0077,0.002,0.034042,9.033898,1.015226,1096.782,51.20339,0.046685,0.0444,5.766233766,22.2,25601.695,0.324072089
156,38.6301,38.67,0.0531,0.0113,0.035839,11.10169,3.083309,953.0877,122.9153,0.128965,0.0399,0.751412429,3.530973451,10877.46018,0.777944937
159,39.5655,39.64,0.0326,0.0087,0.036155,5.898305,2.209997,933.7104,87.69492,0.093921,0.0745,2.285276074,8.563218391,10079.87586,0.555031139
162,39.0205,39.05,0.0286,0.0068,0.035144,12.01695,2.30767,1006.893,93.81356,0.093171,0.0295,1.031468531,4.338235294,13796.11176,0.593756709
165,40.2432,40.34,0.0232,0.0066,0.035241,11.44068,2.011778,1001.817,77.05085,0.076911,0.0968,4.172413793,14.66666667,11674.37121,0.487663608
168,39.1188,39.61,0.3237,0.0219,0.03725,13.37288,6.012353,864.6029,228.8136,0.264646,0.4912,1.517454433,22.42922374,10448.10959,1.448187342
171,38.5007,39.94,0.6451,0.0349,0.03589,14.42373,9.546682,951.8386,381.0169,0.400296,1.4393,2.231126957,41.24068768,10917.38968,2.411499367
174,38.8031,39.05,0.371,0.0302,0.035981,14.55932,8.626831,945.9821,338.3729,0.357695,0.2469,0.665498652,8.175496689,11204.40066,2.141600633
177,39.4794,39.87,0.2835,0.0373,0.035357,14.0339,8.895432,989.1075,383.1356,0.387355,0.3906,1.377777778,10.47184987,10271.7319,2.424908861
180,38.8741,39.15,0.3519,0.0325,0.035398,13.59322,7.450733,986.3949,305.1186,0.309327,0.2759,0.784029554,8.489230769,9388.264615,1.93113038
