"","precip","block","soil_root","root_association","soil_status"
"MERDSSG100","D",4,"L.R","R","L"
"MERDSSG103","D",5,"L.R","R","L"
"MERDSSG109","D",2,"L.B","B","L"
"MERDSSG112","D",3,"L.B","B","L"
"MERDSSG115","D",4,"L.B","B","L"
"MERDSSG118","D",5,"L.B","B","L"
"MERDSSG124","D",2,"S.B","B","S"
"MERDSSG127","D",3,"S.B","B","S"
"MERDSSG130","D",4,"S.B","B","S"
"MERDSSG133","D",5,"S.B","B","S"
"MERDSSG139","A",2,"L.R","R","L"
"MERDSSG142","A",3,"L.R","R","L"
"MERDSSG145","A",4,"L.R","R","L"
"MERDSSG148","A",5,"L.R","R","L"
"MERDSSG154","A",2,"L.B","B","L"
"MERDSSG157","A",3,"L.B","B","L"
"MERDSSG160","A",4,"L.B","B","L"
"MERDSSG163","A",5,"L.B","B","L"
"MERDSSG169","A",2,"S.B","B","S"
"MERDSSG172","A",3,"S.B","B","S"
"MERDSSG175","A",4,"S.B","B","S"
"MERDSSG178","A",5,"S.B","B","S"
"MERDSSG94","D",2,"L.R","R","L"
"MERDSSG97","D",3,"L.R","R","L"
